unit_id,unit_name,type,stake,city
82953,Annandale Ward,Ward,Annandale Virginia Stake,Annandale
158569,Burke Ward,Ward,Annandale Virginia Stake,Springfield
42919,Fairfax Ward,Ward,Annandale Virginia Stake,Fairfax
482382,Lincolnia Ward,Ward,Annandale Virginia Stake,Annandale
178551,Rolling Valley Ward,Ward,Annandale Virginia Stake,Springfield
74357,Springfield Ward,Ward,Annandale Virginia Stake,Springfield
95311,Wakefield Ward,Ward,Annandale Virginia Stake,Fairfax
164798,Bella Vista Ward,Ward,Bella Vista Virginia Stake,Falls Church
2170701,Cub Run Branch,Branch,Bella Vista Virginia Stake,Chantilly
203556,Little River Ward,Ward,Bella Vista Virginia Stake,Annandale
2150247,Loudoun Ward,Ward,Bella Vista Virginia Stake,Sterling Park
2156792,Occoquan River Ward,Ward,Bella Vista Virginia Stake,Manassas
193666,Old Town Ward,Ward,Bella Vista Virginia Stake,Alexandria
460753,Potomac River Ward,Ward,Bella Vista Virginia Stake,Dale City
200735,Spring Lake Ward,Ward,Bella Vista Virginia Stake,Vienna
496758,Sudley Ward,Ward,Bella Vista Virginia Stake,Manassas
183342,Algonkian Ward,Ward,Brambleton Virginia Stake,Sterling Park
235210,Ashburn Ward,Ward,Brambleton Virginia Stake,Ashburn
370479,Brambleton Ward,Ward,Brambleton Virginia Stake,Chantilly
2180197,Broadlands Ward,Ward,Brambleton Virginia Stake,Ashburn
79634,Sterling Park Ward,Ward,Brambleton Virginia Stake,Sterling Park
1197576,Tall Cedars Ward,Ward,Brambleton Virginia Stake,Chantilly
182028,Centreville 1st Ward,Ward,Centreville Virginia Stake,Chantilly
237094,Centreville 2nd Ward,Ward,Centreville Virginia Stake,Centreville
383597,Chantilly Ward,Ward,Centreville Virginia Stake,Oak Hill
191329,Fair Oaks Ward,Ward,Centreville Virginia Stake,Chantilly
44741,Manassas Ward,Ward,Centreville Virginia Stake,Centreville
1682970,Twin Lakes Branch,Branch,Centreville Virginia Stake,Centreville
42870,Auburn Ward,Ward,Gainesville Virginia Stake,Warrenton
279994,Gainesville Ward,Ward,Gainesville Virginia Stake,Gainesville
1369172,Haymarket Ward,Ward,Gainesville Virginia Stake,Gainesville
2174545,Opal Ward,Ward,Gainesville Virginia Stake,Warrenton
489891,Vint Hill Ward,Ward,Gainesville Virginia Stake,Gainesville
236276,Warrenton Ward,Ward,Gainesville Virginia Stake,Warrenton
460818,Belmont Ridge Ward,Ward,Leesburg Virginia Stake,Ashburn
274372,Goose Creek Ward,Ward,Leesburg Virginia Stake,Leesburg
212652,Leesburg Ward,Ward,Leesburg Virginia Stake,Leesburg
1195794,Potomac Crossing Ward,Ward,Leesburg Virginia Stake,Leesburg
418269,Short Hill Ward,Ward,Leesburg Virginia Stake,Hamilton
129348,Telegraph Springs Ward,Ward,Leesburg Virginia Stake,Hamilton
42994,Arlington 1st Ward,Ward,McLean Virginia Stake,Arlington
568953,Arlington 2nd Ward,Ward,McLean Virginia Stake,Arlington
42439,Falls Church 1st Ward,Ward,McLean Virginia Stake,Falls Church
2212641,Falls Church 2nd Branch,Branch,McLean Virginia Stake,McLean
188433,Great Falls Ward,Ward,McLean Virginia Stake,Vienna
162493,Idylwood Ward,Ward,McLean Virginia Stake,McLean
44156,McLean Ward,Ward,McLean Virginia Stake,Falls Church
278521,Alexandria 1st Ward,Ward,Mount Vernon Virginia Stake,Alexandria
1616773,Alexandria 2nd Ward,Ward,Mount Vernon Virginia Stake,Alexandria
42900,Arlington Ridge Ward,Ward,Mount Vernon Virginia Stake,Arlington
1616978,Fort Belvoir Ward,Ward,Mount Vernon Virginia Stake,Alexandria
2172348,Huntley Meadows Ward,Ward,Mount Vernon Virginia Stake,Alexandria
101052,Kingstowne Ward,Ward,Mount Vernon Virginia Stake,Alexandria
44148,Mount Vernon Ward,Ward,Mount Vernon Virginia Stake,Alexandria
1180363,Potomac SA Ward,YSA/SA Ward,Mount Vernon Virginia Stake,Arlington
171689,Franklin Ward,Ward,Oakton Virginia Stake,Oak Hill
150169,Herndon Ward,Ward,Oakton Virginia Stake,Reston
1143778,Oak Marr Ward,Ward,Oakton Virginia Stake,Oakton
95214,Oakton Ward,Ward,Oakton Virginia Stake,Oakton
200727,Reston Ward,Ward,Oakton Virginia Stake,Reston
76635,Vienna Ward,Ward,Oakton Virginia Stake,Oakton
2111802,Bull Run YSA Ward,YSA/SA Ward,Washington DC YSA South Stake,Centreville
249734,Dulles YSA Ward,YSA/SA Ward,Washington DC YSA South Stake,Ashburn
150177,Langley YSA Ward,YSA/SA Ward,Washington DC YSA South Stake,Arlington
466123,Occoquan YSA Branch,Branch,Washington DC YSA South Stake,Woodbridge
445738,Pentagon City YSA Ward,YSA/SA Ward,Washington DC YSA South Stake,Arlington
178969,Potomac Yard YSA Ward,YSA/SA Ward,Washington DC YSA South Stake,Arlington
433799,Bristow Ward,Ward,Woodbridge Virginia Stake,Manassas
197890,Dale City Ward,Ward,Woodbridge Virginia Stake,Dale City
191272,Lake Ridge Ward,Ward,Woodbridge Virginia Stake,Woodbridge
100285,Prince William Ward,Ward,Woodbridge Virginia Stake,Manassas
107522,Quantico Ward,Ward,Woodbridge Virginia Stake,Dale City
1991272,Woodbridge Ward,Ward,Woodbridge Virginia Stake,Woodbridge
